Title,URL,Description,Level,Status,Review,Tags,Slugs
How to Learn Online,https://www.edx.org/course/how-to-learn-online,Learn essential strategies for successful online learning,Beginner,Paid,,E-learning Online learning Distance learning Remote learning Virtual learning Self-paced learning Asynchronous learning Synchronous learning Blended learning Hybrid learning Online education Digital learning,how to learn online e-learning online learning distance learning remote learning virtual learning self-paced learning asynchronous learning synchronous learning blended learning hybrid learning online education digital learning beginner
Programming for Everybody (Getting Started with Python),https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt,"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.",Beginner,Paid,,"Python Programming, Computer Programming, Programming Languages, Beginner Programming, Coding, Software Development, Introduction to Programming, Data Science, Machine Learning, Data Analysis",programming for everybody (getting started with python) python programming computer programming programming languages beginner programming coding software development introduction to programming data science machine learning data analysis beginner
CS50's Introduction to Computer Science,https://www.edx.org/course/cs50s-introduction-to-computer-science,An introduction to the intellectual enterprises of computer science and the art of programming.,Beginner,Paid,,"Computer Science, Programming, Algorithms, Data Structures, Software Development, Problem Solving, Computational Thinking, HarvardX, CS50, Introduction to Computer Science",cs50's introduction to computer science computer science programming algorithms data structures software development problem solving computational thinking harvardx cs50 introduction to computer science beginner
The Analytics Edge,https://www.edx.org/course/the-analytics-edge,"Through inspiring examples and stories, discover the power of data and use analytics to provide an edge to your career and your life.",Intermediate,Paid,,"Data Analysis, Business Analytics, Data Science, Machine Learning, Artificial Intelligence, Big Data, Statistical Analysis, Predictive Analytics, Data Visualization, Business Intelligence",the analytics edge data analysis business analytics data science machine learning artificial intelligence big data statistical analysis predictive analytics data visualization business intelligence intermediate
Marketing Analytics: Marketing Measurement Strategy,https://www.edx.org/course/marketing-analytics-marketing-measurement-strategy,This course is part of a MicroMasters® Program,Beginner,Paid,,"Marketing Analytics, Marketing Measurement, Data-Driven Marketing, Analytics for Marketers, Marketing ROI, Digital Marketing Analytics, Social Media Analytics, Email Marketing Analytics, Web Analytics, Campaign Measurement",marketing analytics marketing measurement strategy marketing analytics marketing measurement data-driven marketing analytics for marketers marketing roi digital marketing analytics social media analytics email marketing analytics web analytics campaign measurement beginner
Introduction to Project Management,https://www.edx.org/course/introduction-to-project-management,Learn the principles of project management and apply them in your own work and life.,Beginner,Paid,,"Project Management, Project Planning, Project Scheduling, Project Execution, Project Control, Project Closure, Project Management Software, Project Management , Project Management Best Practices, Project Management Certification, Agile Project Management, Waterfall Project Management, Scrum Project Management, Kanban Project Management",introduction to project management project management project planning project scheduling project execution project control project closure project management software project management  project management best practices project management certification agile project management waterfall project management scrum project management kanban project management beginner
Leading High-Performing Teams,https://www.edx.org/course/leading-high-performing-teams,"Learn how to motivate, engage and empower people to build effective and high performing teams.",Intermediate,Paid,,"Team Leadership, High-Performing Teams, Team Management, Team Building, Team Motivation, Team Communication, Team Conflict Resolution, Team Performance Measurement, Team Development, Team Coaching",leading high-performing teams team leadership high-performing teams team management team building team motivation team communication team conflict resolution team performance measurement team development team coaching intermediate
The Foundations of Happiness at Work,https://www.edx.org/course/the-foundations-of-happiness-at-work,Learn why happiness at work matters and how to increase it within yourself and across your organization.,Beginner,Paid,,"Workplace Well-being, Happiness in the Workplace, Employee Engagement, Positive Work Environment, Job Satisfaction, Organizational Culture, Work-Life Balance, Employee Motivation, Mindfulness at Work, Resilience in the Workplace, Stress Management in the Workplace, Emotional Intelligence",the foundations of happiness at work workplace well-being happiness in the workplace employee engagement positive work environment job satisfaction organizational culture work-life balance employee motivation mindfulness at work resilience in the workplace stress management in the workplace emotional intelligence beginner
"Managing Study, Stress and Mental Health at University",https://www.edx.org/course/managing-study-stress-and-mental-health-at-univers,"Develop a clearer understanding of what mental health is, and learn how best to recognise and respond to mental health concerns, such as negative thoughts and behaviours, in yourself and others.",Beginner,Paid,,"Study Skills, Stress Management, Mental Health, University, Student Wellness, Academic Resilience, Mindfulness, Time Management, Emotional Regulation, Coping Mechanisms, Cognitive Behavioral Therapy",managing study stress and mental health at university study skills stress management mental health university student wellness academic resilience mindfulness time management emotional regulation coping mechanisms cognitive behavioral therapy beginner
Six Sigma: Define and Measure,https://www.edx.org/course/six-sigma-define-and-measure,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.",Beginner,Paid,,Six Sigma Define Phase Measure Phase Statistical Process Control Data Analysis Process Improvement Quality Management Lean Manufacturing Business Process Management Process Optimization Data-Driven Decision Making,six sigma define and measure six sigma define phase measure phase statistical process control data analysis process improvement quality management lean manufacturing business process management process optimization data-driven decision making beginner
Fat Chance: Probability from the Ground Up,https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,Beginner,Paid,,"Probability, Statistics, Mathematics, Data Analysis, Calculus, Statistics for Data Science, Machine Learning, Artificial Intelligence, Data Science, Probability Theory",fat chance probability from the ground up probability statistics mathematics data analysis calculus statistics for data science machine learning artificial intelligence data science probability theory beginner
Chasing your Dream: How to End Procrastination and Get a Job You Love,https://www.edx.org/course/chasing-your-dream-how-to-end-procrastination-and,"According to the old saying, ""Choose a job you love, and you will never have to work a day in your life."" This courseis geared toward helping you find real purpose in your work and becoming the best version of yourself.",Beginner,Paid,,"Career Development, Career Planning, Job Hunting, Procrastination, Goal Setting, Motivation, Networking Personal Growth, Self-improvement, Productivity, Time Management, Habit Formation, Mindset Business and Entrepreneurship, Entrepreneurship, Career Development, Job Market, Job Search, Interviewing Education and Training, Online Learning, Skill Development, Coursework, Training Programs, Educational Resources Specific Industries or Roles, Dream Job, Passion-Driven Work, Fulfillment, Career Satisfaction, Meaningful Work",chasing your dream how to end procrastination and get a job you love career development career planning job hunting procrastination goal setting motivation networking personal growth self-improvement productivity time management habit formation mindset business and entrepreneurship entrepreneurship career development job market job search interviewing education and training online learning skill development coursework training programs educational resources specific industries or roles dream job passion-driven work fulfillment career satisfaction meaningful work beginner
English Grammar and Style,https://www.edx.org/course/english-grammar-and-style,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,Beginner,Paid,,"English Grammar, Style and Usage, Written Communication, Grammar Skills, Writing Skills, Sentence Structure, Punctuation, Syntax, Linguistics, Language Arts",english grammar and style english grammar style and usage written communication grammar skills writing skills sentence structure punctuation syntax linguistics language arts beginner
Ethics in Action,https://www.edx.org/course/ethics-in-action,What do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?,Intermediate,Paid,,"Applied Ethics, Moral Reasoning, Ethical Decision-Making, Value Theory, Professional Ethics, Social Justice, CSR (Corporate Social Responsibility), Sustainability, Ethical Leadership, Ethics and Technology",ethics in action applied ethics moral reasoning ethical decision-making value theory professional ethics social justice csr (corporate social responsibility) sustainability ethical leadership ethics and technology intermediate
Introduction to FinTech,https://www.edx.org/course/introduction-to-fintech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance.",Beginner,Paid,,"Financial Technology, Digital Banking, Mobile Payments, Blockchain, Cryptocurrency, Wealth Management, Insurtech, Regtech, Capital Markets, Artificial Intelligence, Machine Learning, Big Data, Cloud Computing, Cybersecurity, Data Analytics",introduction to fintech financial technology digital banking mobile payments blockchain cryptocurrency wealth management insurtech regtech capital markets artificial intelligence machine learning big data cloud computing cybersecurity data analytics beginner
Data Science: R Basics,https://www.edx.org/course/data-science-r-basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.",Beginner,Paid,,"Data Science, R Programming, Statistical Computing, Data Analysis, Data Manipulation, Data Visualization, Machine Learning, Data Mining, Supervised Learning, Unsupervised Learning, Regression, Classification, Clustering, Dimensionality Reduction, Data Management, Data Preprocessing, Data Cleaning, Data Import/Export, Data Wrangling",data science r basics data science r programming statistical computing data analysis data manipulation data visualization machine learning data mining supervised learning unsupervised learning regression classification clustering dimensionality reduction data management data preprocessing data cleaning data import/export data wrangling beginner
Python Basics for Data Science,https://www.edx.org/course/python-basics-for-data-science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!",Beginner,Paid,,"Data Science, Python Programming, Data Analysis, Data Manipulation, Machine Learning, Statistics, Data Visualization, Data Cleaning, Data Wrangling, Exploratory Data Analysis",python basics for data science data science python programming data analysis data manipulation machine learning statistics data visualization data cleaning data wrangling exploratory data analysis beginner
The Science of Beer,https://www.edx.org/course/the-science-of-beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health.",Beginner,Paid,,Brewing Science Beer Production Microbiology Chemistry Fermentation Yeast Biology Wort Production Hop Utilization Beer Analysis Beer Styles Food Science Beverage Production Fermentation Technology Microbiology Culinary ArtsIndustry- Craft Beer Microbrewing Homebrewing Beer Culture Sensory Evaluation Beer Marketing Beer and Food Pairing Beer History Beer Economics,the science of beer brewing science beer production microbiology chemistry fermentation yeast biology wort production hop utilization beer analysis beer styles food science beverage production fermentation technology microbiology culinary artsindustry- craft beer microbrewing homebrewing beer culture sensory evaluation beer marketing beer and food pairing beer history beer economics beginner
Strategic Social Media Marketing,https://www.edx.org/course/strategic-social-media-marketing,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,Advanced,Paid,,"Social Media Marketing, Strategic Marketing, Digital Marketing, Social Media Strategy, Social Media Analytics, Content Marketing, Influencer Marketing, Paid Social Media Advertising, Social Media Measurement, Social Media Management, Social Media Optimization, Social Media ROI, Social Media Trends, Social Media Marketing Tools",strategic social media marketing social media marketing strategic marketing digital marketing social media strategy social media analytics content marketing influencer marketing paid social media advertising social media measurement social media management social media optimization social media roi social media trends social media marketing tools advanced
CS50's Introduction to Artificial Intelligence with Python,https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python,Learn to use machine learning in Python in this Beginner course on artificial intelligence.,Beginner,Paid,,"Artificial Intelligence, Machine Learning, Python Programming, Data Science, Computer Science, Algorithms, Deep Learning, Data Analysis, Machine Learning Models, Supervised Learning, Unsupervised Learning, Natural Language Processing, Computer Vision, Reinforcement Learning, Neural Networks",cs50's introduction to artificial intelligence with python artificial intelligence machine learning python programming data science computer science algorithms deep learning data analysis machine learning models supervised learning unsupervised learning natural language processing computer vision reinforcement learning neural networks beginner
Rhetoric: The Art of Persuasive Writing and Public Speaking,https://www.edx.org/course/rhetoric-art-of-persuasive-writing-public-speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,Beginner,Paid,,"Rhetoric, Persuasive Writing, Public Speaking, Argumentation, Communication, Language Arts, English, Verbal Communication, Critical Thinking, Analysis",rhetoric the art of persuasive writing and public speaking rhetoric persuasive writing public speaking argumentation communication language arts english verbal communication critical thinking analysis beginner
CS50's Web Programming with Python and JavaScript,https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.",Intermediate,Paid,,"Python, JavaScript, Web Development, Programming, Computer Science, Web Programming, Python Programming, JavaScript Programming, Front-End Development, Back-End Development, Database, HTML, CSS, Django, Flask",cs50's web programming with python and javascript python javascript web development programming computer science web programming python programming javascript programming front-end development back-end development database html css django flask intermediate
Contract Law: From Trust to Promise to Contract,https://www.edx.org/course/contract-law-from-trust-to-promise-to-contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",Intermediate,Paid,,Contract Formation Offer and Acceptance Consideration Capacity and Consent Legality Statute of FraudsTypes of Contracts Unilateral Contracts Bilateral Contracts Void and Voidable Contracts Express and Implied ContractsContract Defenses Duress Undue Influence Mistake Fraud MisrepresentationContract Remedies Damages Specific Performance Injunctions RescissionSpecific Contract Issues Sale of Goods Employment Contracts Real Estate Contracts Insurance Contracts Contract Interpretation Assignment and Delegation Third-Party Beneficiaries Equitable Remedies Business Law Civil Procedure Common Law Ethics Torts,contract law from trust to promise to contract contract formation offer and acceptance consideration capacity and consent legality statute of fraudstypes of contracts unilateral contracts bilateral contracts void and voidable contracts express and implied contractscontract defenses duress undue influence mistake fraud misrepresentationcontract remedies damages specific performance injunctions rescissionspecific contract issues sale of goods employment contracts real estate contracts insurance contracts contract interpretation assignment and delegation third-party beneficiaries equitable remedies business law civil procedure common law ethics torts intermediate
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",https://www.edx.org/course/fundamentals-of-neuroscience-part-1-the-electrical,Learn how electricity makes the neurons in your brain tick.,Beginner,Paid,,"Neuroscience, Neurophysiology, Ion Channels, Action Potentials, Membrane Potential, Resting Potential, Electrical Properties of Neurons, Nervous System, Neural Communication, Synapses, Neurons",fundamentals of neuroscience part 1 the electrical properties of the neuron neuroscience neurophysiology ion channels action potentials membrane potential resting potential electrical properties of neurons nervous system neural communication synapses neurons beginner
