Title,URL,Description,Level,Status,Review,Tags,Slugs
Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity,"Google Cybersecurity Professional Certificate by Google, by 4.8 stars, by 24K reviews, provide skills Network Security, Python Programming, Linux etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",google cybersecurity network security python programming linux cloud computing algorithms computer programming computer security incident management cryptography databases leadership and management network architecture risk management sql beginner
Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics,"Google Data Analytics Professional Certificate by Google, by 4.8 stars, by 140K reviews, provide skills Data Analysis, R Programming, SQL etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",google data analytics data analysis r programming sql business communication spreadsheet software business analysis data visualization data management general statistics big data communication computer programming data science data visualization software databases exploratory data analysis extract transform load leadership and management microsoft excel problem solving small data statistical programming tableau software beginner
Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management,"Google Project Management: Professional Certificate by Google, by 4.8 stars, by 103K reviews, provide skills Project Management, Strategy and Operations, Leadership and Management etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",google project management project management strategy and operations leadership and management communication business communication collaboration agile software development software engineering entrepreneurship scrum (software development) planning supply chain and logistics change management finance organizational development product management risk management budget management influencing culture emotional intelligence people management problem solving procurement beginner
IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science,"IBM Data Science Professional Certificate by IBM, by 4.6 stars, by 122K reviews, provide skills Python Programming, Machine Learning, Data Science etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Python Programming, Machine Learning, Data Science, Data Analysis, Algorithms, Data Analysis Software, Data Management, Data Visualization, Database Design, Human Learning, R Programming, Computer Programming, Database Application, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Statistical Programming, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",ibm data science python programming machine learning data science data analysis algorithms data analysis software data management data visualization database design human learning r programming computer programming database application databases deep learning exploratory data analysis machine learning algorithms plot (graphics) sql data model statistical machine learning general statistics probability  statistics regression reinforcement learning statistical programming big data cloud computing data mining ibm cloud writing beginner
Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,"Google Digital Marketing & E-commerce Professional Certificate by Google, by 4.8 stars, by 24K reviews, provide skills Digital Marketing, Marketing, Marketing Management etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",google digital marketing  e-commerce digital marketing marketing marketing management media strategy  planning sales e-commerce data analysis social media search engine optimization advertising communication persona research strategy web design web development web development tools writing data management market analysis beginner
IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst,"IBM Data Analyst Professional Certificate by IBM, by 4.6 stars, by 74K reviews, provide skills Python Programming, Microsoft Excel, Data Visualization etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Python Programming, Microsoft Excel, Data Visualization, Data Analysis, Spreadsheet Software, Data Management, Data Structures, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Data Analysis Software, Database Design, Machine Learning, Computer Programming, Database Application, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression, Statistical Programming",ibm data analyst python programming microsoft excel data visualization data analysis spreadsheet software data management data structures databases exploratory data analysis sql plot (graphics) business analysis data analysis software database design machine learning computer programming database application statistical visualization data mining data science general statistics nosql r programming cloud computing data visualization software ibm cloud interactive data visualization machine learning algorithms probability  statistics regression statistical programming beginner
Google IT Support,https://www.coursera.org/professional-certificates/google-it-support,"Google IT Support Professional Certificate by Google, by 4.8 stars, by 185K reviews, provide skills Computer Networking, Network Architecture, Network Model etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",google it support computer networking network architecture network model networking hardware network analysis computer architecture critical thinking problem solving communication human computer interaction network security linux system security cloud computing computer programming customer support cryptography leadership and management operating systems beginner
Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design,"Google UX Design Professional Certificate by Google, by 4.8 stars, by 77K reviews, provide skills User Experience, User Experience Design, User Research etc... Beginner level 3 - 6 Months",Beginner,Paid,4.8,"User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Visual Design, Web Design, Web Development Tools",google ux design user experience user experience design user research audit collaboration human computer interaction planning product design product development social media visual design web design web development tools beginner
Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction,"Machine Learning Specialization by DeepLearning.AI, Stanford University, by 4.9 stars, by 21K reviews, provide skills Machine Learning, Machine Learning Algorithms, Applied Machine Learning etc... Beginner level 1 - 3 Months",Beginner,Paid,4.9,"Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Reinforcement Learning",machine learning machine learning machine learning algorithms applied machine learning algorithms deep learning machine learning software artificial neural networks human learning statistical machine learning python programming regression mathematics tensorflow critical thinking network model reinforcement learning beginner
IBM Applied AI,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,"IBM Applied AI Professional Certificate by IBM, by 4.6 stars, by 48K reviews, provide skills Machine Learning, Deep Learning, Machine Learning Algorithms etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Applied Machine Learning, Algorithms, Machine Learning Software, Natural Language Processing, Human Computer Interaction, Computer Programming, Cloud API, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Critical Thinking, Software As A Service, User Experience Design, Interactive Data Visualization, Data Science",ibm applied ai machine learning deep learning machine learning algorithms artificial neural networks python programming cloud computing computer vision human learning ibm cloud applied machine learning algorithms machine learning software natural language processing human computer interaction computer programming cloud api cloud applications computer programming tools application development visualization (computer graphics) data analysis critical thinking software as a service user experience design interactive data visualization data science beginner
IBM DevOps and Software Engineering,https://www.coursera.org/professional-certificates/devops-and-software-engineering,"IBM DevOps and Software Engineering Professional Certificate by IBM, by 4.6 stars, by 45K reviews, provide skills DevOps, Software Engineering, Cloud Computing etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Continuous Delivery, Cloud Applications, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Product Management, Technical Product Management, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",ibm devops and software engineering devops software engineering cloud computing computer programming application development python programming software architecture continuous delivery cloud applications continuous integration software engineering tools agile software development programming principles security engineering software testing cloud infrastructure kubernetes cloud-based integration microarchitecture cloud platforms communication ibm cloud scrum (software development) software security cloud storage docker (software) linux product management technical product management collaboration leadership and management data analysis mergers  acquisitions beginner
IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,"IBM Full Stack Software Developer Professional Certificate by IBM, by 4.6 stars, by 43K reviews, provide skills Cloud Computing, Cloud Applications, Python Programming etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Cloud Computing, Cloud Applications, Python Programming, IBM Cloud, Application Development, Cloud Infrastructure, Computer Programming, DevOps, Cloud Platforms, Javascript, Web Development, Cloud Management, Software Architecture, Cloud API, Cloud-Based Integration, Full-Stack Web Development, Software Engineering, Continuous Delivery, Cloud Storage, Continuous Integration, Software As A Service, Microarchitecture, Docker (Software), Kubernetes, Software Engineering Tools, Django (Web Framework), NoSQL, SQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",ibm full stack software developer cloud computing cloud applications python programming ibm cloud application development cloud infrastructure computer programming devops cloud platforms javascript web development cloud management software architecture cloud api cloud-based integration full-stack web development software engineering continuous delivery cloud storage continuous integration software as a service microarchitecture docker (software) kubernetes software engineering tools django (web framework) nosql sql collaboration computer science data analysis front-end web development leadership and management mergers  acquisitions react (web framework) beginner
Introduction to Data Science,https://www.coursera.org/specializations/introduction-data-science,"Introduction to Data Science Specialization by IBM, by 4.6 stars, by 87K reviews, provide skills Data Science, Python Programming, Data Analysis etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Data Science, Python Programming, Data Analysis, Data Analysis Software, Data Management, R Programming, Computer Programming, Database Application, Database Design, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",introduction to data science data science python programming data analysis data analysis software data management r programming computer programming database application database design databases sql data model machine learning statistical machine learning big data cloud computing data mining deep learning ibm cloud regression writing beginner
Data Science Fundamentals with Python and SQL,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,"Data Science Fundamentals with Python and SQL Specialization by IBM, by 4.6 stars, by 61K reviews, provide skills Python Programming, Data Analysis, General Statistics etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Analysis Software, Data Visualization, Data Science, R Programming, Data Management, Database Application, Database Design, Databases, SQL, Cloud Computing, IBM Cloud",data science fundamentals with python and sql python programming data analysis general statistics probability  statistics basic descriptive statistics statistical analysis statistical tests mathematical theory  analysis statistical programming computer programming data analysis software data visualization data science r programming data management database application database design databases sql cloud computing ibm cloud beginner
Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business,"Key Technologies for Business Specialization by IBM, by 4.7 stars, by 84K reviews, provide skills Algorithms, Applied Machine Learning, Artificial Neural Networks etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Critical Thinking, Big Data, Data Analysis, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing",key technologies for business algorithms applied machine learning artificial neural networks computer vision deep learning human learning machine learning machine learning algorithms machine learning software cloud computing critical thinking big data data analysis cloud applications cloud infrastructure cloud platforms cloud storage devops data mining ibm cloud data science regression writing beginner
IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer,"IBM Data Engineering Professional Certificate by IBM, by 4.6 stars, by 48K reviews, provide skills Data Management, Databases, Database Administration etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Data Management, Databases, Database Administration, Extract, Transform, Load, SQL, Big Data, Apache, Python Programming, Database Design, Database Application, Data Architecture, Data Structures, Distributed Computing Architecture, NoSQL, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, Cloud Storage, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Data Analysis Software, Leadership and Management, Software Architecture, System Programming, System Software, PostgreSQL, Kubernetes, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",ibm data engineering data management databases database administration extract transform load sql big data apache python programming database design database application data architecture data structures distributed computing architecture nosql data model data warehousing cloud computing database theory data engineering data visualization computer programming cloud storage ibm cloud data mining machine learning cloud applications data analysis data analysis software leadership and management software architecture system programming system software postgresql kubernetes business intelligence data visualization software linux network security statistical programming data science beginner
IBM & Darden Digital Strategy,https://www.coursera.org/specializations/digital-strategy,"IBM & Darden Digital Strategy Specialization by University of Virginia Darden School Foundation, IBM, by 4.7 stars, by 32K reviews, provide skills Business Analysis, Business Transformation, Strategy etc... Beginner level 3 - 6 Months",Beginner,Paid,4.7,"Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Critical Thinking, Data Structures, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",ibm  darden digital strategy business analysis business transformation strategy data analysis cloud computing strategy and operations applied machine learning data visualization deep learning entrepreneurship leadership and management research and design algorithms artificial neural networks computer vision human learning innovation machine learning machine learning algorithms machine learning software marketing sales critical thinking data structures market analysis business design business development customer analysis product strategy data management data mining databases python programming sql cloud applications cloud infrastructure cloud platforms cloud storage data science devops ibm cloud nosql r programming microsoft excel beginner
Data Engineering Foundations,https://www.coursera.org/specializations/data-engineering-foundations,"Data Engineering Foundations Specialization by IBM, by 4.6 stars, by 47K reviews, provide skills Data Management, Python Programming, Databases etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Data Management, Python Programming, Databases, Data Structures, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Data Analysis Software, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",data engineering foundations data management python programming databases data structures data engineering database application sql database administration database design extract transform load computer programming data architecture database theory data mining data model data analysis data analysis software leadership and management data warehousing postgresql big data ibm cloud network security nosql cloud computing data science beginner
Applied Data Science,https://www.coursera.org/specializations/applied-data-science,"Applied Data Science Specialization by IBM, by 4.6 stars, by 50K reviews, provide skills Python Programming, Data Analysis, Machine Learning etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",applied data science python programming data analysis machine learning algorithms computer programming data science data visualization exploratory data analysis general statistics machine learning algorithms plot (graphics) probability  statistics regression statistical programming beginner
IBM Back-End Development,https://www.coursera.org/professional-certificates/ibm-backend-development,"IBM Back-End Development Professional Certificate by IBM, by 4.6 stars, by 38K reviews, provide skills Application Development, Software Engineering, Python Programming etc... Beginner level 3 - 6 Months",Beginner,Paid,4.6,"Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Security Engineering, Cloud Computing, Programming Principles, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Web Development, Continuous Delivery, Docker (Software), Linux, Product Management, Technical Product Management, Collaboration, Leadership and Management, Data Analysis, Django (Web Framework), Mergers & Acquisitions, SQL",ibm back-end development application development software engineering python programming computer programming software architecture devops software engineering tools cloud applications security engineering cloud computing programming principles cloud infrastructure cloud-based integration microarchitecture agile software development communication ibm cloud kubernetes software security web development continuous delivery docker (software) linux product management technical product management collaboration leadership and management data analysis django (web framework) mergers  acquisitions sql beginner
